N,cor_xm,rel,gamma_xm,method,coverage_std,coverage_usd,outlier_se,power_lrt,power_std,power_usd,raw_bias,raw_rse_bias,rmse,std_bias,stdMed_bias,stdMed_rse_bias,trim_bias,trim_rse_bias,type1_lrt,type1_std,type1_usd,N_lab,gammaint_lab,cor_xm_lab,rel_lab
100,0.3,0.7,0,tspa,0.967,0.958,6.1,0.04200000000000004,0.03300000000000003,0.04200000000000004,0.0077192780121804715,-0.1215896081377259,0.19744439709784622,0.039116089363775065,0.044782379632663495,-0.008336886890390027,0.006339834210729566,-0.2992964648284935,0.042,0.033,0.042,italic(N) == 100,\beta_{xm} == 0,corr[XM] == 0.3,rho == 0.7
100,0.3,0.7,0,upi,0.995,0.981,7.249999999999999,0.019000000000000017,0.0050000000000000044,0.019000000000000017,0.001123617533868326,1.0491951031692213,0.3636951544912331,0.003088691013562052,0.040368692023550326,-0.00412999451567464,0.004904544258123621,-0.6073433865711346,0.019,0.005,0.019,italic(N) == 100,\beta_{xm} == 0,corr[XM] == 0.3,rho == 0.7
100,0.3,0.8,0,mmr,0.9445,0.9495,0.44999999999999996,0.05049999999999999,0.055499999999999994,0.05049999999999999,-0.0025135050018182423,-0.002117126254507995,0.09006187449795765,-0.027912540833385426,-0.01176524612936691,-0.02128803475724239,-0.0024381464943373137,-0.001770653755466256,0.0505,0.0555,0.0505,italic(N) == 100,\beta_{xm} == 0,corr[XM] == 0.3,rho == 0.8
100,0.3,0.8,0,rapi,0.979,0.964,5.75,0.03600000000000003,0.02100000000000002,0.03600000000000003,1.6207188139980027e-4,-0.10120899046779686,0.20108767126554086,8.057749635833877e-4,-0.018894950993623427,0.031376958672533206,-0.0027585599810529804,-0.3969386193830784,0.036,0.021,0.036,italic(N) == 100,\beta_{xm} == 0,corr[XM] == 0.3,rho == 0.8
100,0.3,0.8,0,tspa,0.956,0.948,4.5,0.052000000000000046,0.04400000000000004,0.052000000000000046,-0.0036611580680970084,-0.025072998185084683,0.12236952290200595,-0.029924787567343635,-0.01834711466238444,0.015829861372562037,-0.003600234320745178,-0.06797937692309375,0.052,0.044,0.052,italic(N) == 100,\beta_{xm} == 0,corr[XM] == 0.3,rho == 0.8
100,0.3,0.8,0,upi,0.978,0.959,4.9,0.041000000000000036,0.02200000000000002,0.041000000000000036,6.669626959986243e-4,-0.1363121789154279,0.1623797386980865,0.004106433257209398,-0.014245076999824626,-0.020652348161456113,-0.002854365891976896,-0.26987705460371614,0.041,0.022,0.041,italic(N) == 100,\beta_{xm} == 0,corr[XM] == 0.3,rho == 0.8
100,0.3,0.9,0,mmr,0.9395,0.9425,0.6,0.057499999999999996,0.0605,0.057499999999999996,-3.4006177135120763e-4,-0.009653359561821784,0.08946689677325229,-0.0038000558135344634,-6.143065454579212e-4,0.015384030222581613,-4.126660097906713e-4,-0.007830296764018474,0.0575,0.0605,0.0575,italic(N) == 100,\beta_{xm} == 0,corr[XM] == 0.3,rho == 0.9
100,0.3,0.9,0,rapi,0.9545,0.946,2.1999999999999997,0.05400000000000005,0.045499999999999985,0.05400000000000005,-2.041814236248182e-4,0.0017667177585984906,0.10111115424073738,-0.0020188750650730765,0.003633098464834392,0.03846815277871207,-2.3800670366806443e-4,-0.012245836339164984,0.054,0.0455,0.054,italic(N) == 100,\beta_{xm} == 0,corr[XM] == 0.3,rho == 0.9
100,0.3,0.9,0,tspa,0.9535,0.9465,2.1999999999999997,0.05349999999999999,0.046499999999999986,0.05349999999999999,2.0214874973603644e-4,-0.00358210558519112,0.09885247082684973,0.002044446912774045,0.009721108642719889,0.050258504628512224,-2.8532397959764013e-5,-0.015318883981782494,0.0535,0.0465,0.0535,italic(N) == 100,\beta_{xm} == 0,corr[XM] == 0.3,rho == 0.9
100,0.3,0.9,0,upi,0.956,0.9495,2.1,0.05049999999999999,0.04400000000000004,0.05049999999999999,9.195211627986165e-4,-0.031062950690932012,0.10317656710731198,0.008910237948524156,0.0014453752917767152,0.01791820437640368,0.0015414546676228225,-0.05199671782918747,0.0505,0.044,0.0505,italic(N) == 100,\beta_{xm} == 0,corr[XM] == 0.3,rho == 0.9
