N,cor_xm,rel,gamma_xm,method,coverage_std,coverage_usd,outlier_se,power_lrt,power_std,power_usd,raw_bias,raw_rse_bias,rmse,std_bias,stdMed_bias,stdMed_rse_bias,trim_bias,trim_rse_bias,type1_lrt,type1_std,type1_usd,N_lab,gammaint_lab,cor_xm_lab,rel_lab
100,0.3,0.8,0.3,rapi,0.969,0.949,5.7,0.7224999999999999,0.646,0.7224999999999999,0.023723268654086093,0.085976122186602,0.143324799627115,0.1677941547977951,0.10801142168293955,0.06228898424906837,0.017224826702718132,-0.005070906255066343,0.7225,0.646,0.7225,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0.3,rho == 0.8
100,0.3,0.8,0.3,tspa,0.9495,0.9355,4.1000000000000005,0.7595000000000001,0.7424999999999999,0.7595000000000001,0.0068919623009173064,-0.058235711635310494,0.13223484450175,0.05217699281882605,0.011016704136144868,-0.050690160913581694,0.003264449454229934,-0.09780358881770157,0.7595,0.7425,0.7595,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0.3,rho == 0.8
100,0.3,0.8,0.3,upi,0.924,0.9045,6.15,0.6525000000000001,0.5805,0.6525000000000001,0.020672471939510738,-0.10595153694516368,0.18370885356890557,0.11321942384826775,-0.009610379826247161,-0.06576802350455524,0.001491209012199013,-0.21604232829977,0.6525,0.5805,0.6525,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0.3,rho == 0.8
100,0.3,0.9,0.3,mmr,0.9025,0,0.8500000000000001,0.8745,0.8825000000000001,0.8745,-0.023818053701392002,-0.11900203263500742,0.0938555665969351,-0.2622966561712629,-0.27021651223335447,-0.11017781503922541,-0.02331786223348875,-0.11755413207296339,0.8745,0.8825,0.8745,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0.3,rho == 0.9
100,0.3,0.9,0.3,rapi,0.961,0.8855,2.1999999999999997,0.8674999999999999,0.845,0.8674999999999999,0.004922382690156577,0.039003625258689834,0.10484209057376959,0.04699052502373132,0.025789693877251448,0.040271790358373805,0.0027546933448146516,0.022124544331747265,0.8675,0.845,0.8675,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0.3,rho == 0.9
100,0.3,0.9,0.3,tspa,0.941,0.922,2.0500000000000003,0.8685,0.858,0.8685,-0.0012127663545005729,-0.020182679088565525,0.10257675451382853,-0.011820883599751622,-0.021204551275608042,-0.010524056015931427,-0.0032524646222211184,-0.03136699072065485,0.8685,0.858,0.8685,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0.3,rho == 0.9
100,0.3,0.9,0.3,upi,0.944,0.9285,2.45,0.8545,0.8365,0.8545,0.0012073193455984915,-0.041643276695401354,0.11380264678095055,0.010606830701102568,-0.04683592181068534,0.007484615448520637,-0.004258135853731526,-0.06782244702170248,0.8545,0.8365,0.8545,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0.3,rho == 0.9
100,0.6,0.7,0.3,mmr,0.8755,0,0.75,0.8029999999999999,0.8075,0.8029999999999999,-0.04715036631524358,-0.15657786799973228,0.10709386027023993,-0.49023124215726016,-0.4709899038812311,-0.16242806100965201,-0.045316869693160455,-0.15545470559628471,0.803,0.8075,0.803,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0.6,rho == 0.7
100,0.6,0.7,0.3,rapi,0.962,0.984,8.9,0.5615,0.43999999999999995,0.5615,0.06729347226676831,-0.04935871830553118,0.36683468851944184,0.1865636645011326,0.19090075479951504,0.034778113421561674,0.03587993044318538,-0.5246033024908066,0.5615,0.44,0.5615,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0.6,rho == 0.7
100,0.6,0.7,0.3,tspa,0.9435,0.923,7.000000000000001,0.7145,0.692,0.7145,0.022809393681725562,0.12893349110533237,0.23381413705068974,0.09799655150690778,0.05081101657743152,-0.1121573585726805,0.011743930249447143,-0.4508635496207638,0.7145,0.692,0.7145,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0.6,rho == 0.7
