N,cor_xm,rel,gamma_xm,raw_bias.reg_yint_est,method,par,convergence_rate,coverage,MAD,MeanSE,MedianSE,outlier_se,power,power_lrt,raw_bias,raw_rse_bias,rmse,SD,std_bias,stdMed_bias,stdMed_rse_bias,trim_bias,trim_rse_bias,type1,type1_lrt,REPLICATIONS,N_lab,gammaint_lab,cor_xm_lab,rel_lab
100,0.6,0.9,0,0.0014949157494087628,reg,yint,1,0.9475,0.08510956123243375,0.08561516527218652,0.08575640382430595,0.8,0.05249999999999999,0.05049999999999999,NA,0.010780457210293637,0.08469405465144589,0.08470203856976058,0.017649111811843237,0.010021465239560932,0.007600116632086484,0.0016656021955162362,0.011968856520283122,0.0525,0.0505,2000,italic(N) == 100,\beta_{xm} == 0,Correlation_XM == 0.6,Reliability == 0.9
100,0.6,0.9,0,0.0014949157494087628,tspa,yint,1,0.958,0.0825052232940995,0.08454911420292656,0.08327687952963167,1.05,0.04200000000000004,0.04949999999999999,0.0012209295042281514,0.010519002809464828,0.08365698977868576,0.0836689997593924,0.014592376002332859,0.008739584630178604,0.00935281676387345,0.0015176966418639505,3.1249361992524705e-4,0.042,0.0495,2000,italic(N) == 100,\beta_{xm} == 0,Correlation_XM == 0.6,Reliability == 0.9
100,0.6,0.9,0,0.0014949157494087628,upi,yint,1,0.9595,0.08186015155463237,0.08592721636073389,0.08396056259209479,1.95,0.04049999999999998,0.049000000000000044,0.0015438430300845666,-0.0013790070386625608,0.08603821230444239,0.08604587422694071,0.01794209244725407,0.00890939507323547,0.025658528570651873,0.0016888345819506946,-0.021296764083979958,0.0405,0.049,2000,italic(N) == 100,\beta_{xm} == 0,Correlation_XM == 0.6,Reliability == 0.9
250,0,0.7,0,-2.3678421355381225e-4,rapi,yint,1,0.971,0.09306020734828023,0.09890147430359156,0.09372470093598453,3.55,0.029000000000000026,0.03700000000000003,-6.37054684665493e-4,-0.008600728253603696,0.09973657005447113,0.0997594784686214,-0.006385906326343454,0.009177165302103276,0.0071404696662389355,-0.0010589764098587271,-0.05119086199941558,0.029,0.037,2000,italic(N) == 250,\beta_{xm} == 0,Correlation_XM == 0,Reliability == 0.7
250,0,0.7,0,-2.3678421355381225e-4,reg,yint,1,0.946,0.059049915966271946,0.059107608020406294,0.05917784531986933,0.7000000000000001,0.05400000000000005,0.05149999999999999,NA,0.007495986955000422,0.05865364385411702,0.05866783469684065,-0.004036014193763374,-5.029391385239461e-4,0.0021664612303675668,-2.4165484683067614e-4,0.00833882785594553,0.054,0.0515,2000,italic(N) == 250,\beta_{xm} == 0,Correlation_XM == 0,Reliability == 0.7
250,0,0.7,0,-2.3678421355381225e-4,tspa,yint,1,0.957,0.08673016683915834,0.09172788915857227,0.08815946913390285,3.25,0.04300000000000004,0.046499999999999986,-1.0896665805390119e-4,-0.023434435032512746,0.09390564171919669,0.09392906369950303,-0.0011600952225235236,-0.005578431094379597,0.016479874844414377,-4.017564049399708e-4,-0.053332747410891,0.043,0.0465,2000,italic(N) == 250,\beta_{xm} == 0,Correlation_XM == 0,Reliability == 0.7
250,0,0.7,0,-2.3678421355381225e-4,upi,yint,1,0.978,0.09356386223589262,0.10384582184682693,0.09505351698525584,2.3,0.02200000000000002,0.033499999999999974,0.0011785211630305976,-0.10029708745334198,0.11539950589156982,0.11542234708664628,0.010210511159904716,0.007976709978174042,0.015921261839400236,0.001786336268647504,-0.17301283578798643,0.022,0.0335,2000,italic(N) == 250,\beta_{xm} == 0,Correlation_XM == 0,Reliability == 0.7
250,0,0.8,0,-0.0012783638126129752,rapi,yint,1,0.9575,0.07805182329670764,0.07912654654592069,0.07763682567985648,2.55,0.04249999999999998,0.04800000000000004,-0.001854348366881426,-0.01400452281620268,0.08025177694007021,0.08025041531825493,-0.023107025172735884,-0.025765725993582442,-0.005316949679363359,-0.0018064753282424745,-0.03051702152123892,0.0425,0.048,2000,italic(N) == 250,\beta_{xm} == 0,Correlation_XM == 0,Reliability == 0.8
250,0,0.8,0,-0.0012783638126129752,reg,yint,1,0.9415,0.059998913270289056,0.058515044588667665,0.05855602467901759,1,0.058499999999999996,0.05449999999999999,NA,-0.006007842062719093,0.0588678815229432,0.058868718552163725,-0.02171550263116758,-0.03048025964034443,-0.02404857875960853,-0.0014886327863898065,-0.005396668780415559,0.0585,0.0545,2000,italic(N) == 250,\beta_{xm} == 0,Correlation_XM == 0,Reliability == 0.8
250,0,0.8,0,-0.0012783638126129752,tspa,yint,1,0.9525,0.07600990645046764,0.07639111656807197,0.07536982825706809,1.7999999999999998,0.04749999999999999,0.052000000000000046,-0.0017711966088168616,-0.020270373640490114,0.07797225491674993,0.07797163065480313,-0.02271591082477578,-0.02289926076784292,-0.008420983833425155,-0.0014926567726754067,-0.033450282057447156,0.0475,0.052,2000,italic(N) == 250,\beta_{xm} == 0,Correlation_XM == 0,Reliability == 0.8
