N,cor_xm,rel,gamma_xm,raw_bias.reg_yint_est,method,par,convergence_rate,coverage,MAD,MeanSE,MedianSE,outlier_se,power,power_lrt,raw_bias,raw_rse_bias,rmse,SD,std_bias,stdMed_bias,stdMed_rse_bias,trim_bias,trim_rse_bias,type1,type1_lrt,REPLICATIONS,N_lab,gammaint_lab,cor_xm_lab,rel_lab
250,0,0.7,0.3,-0.09131678608709701,rapi,yint,1,0.974,0.09941901943823372,0.12843764949500114,0.11570021571812922,5.2,0.847,0.877,0.02458062595396346,0.09257520930324503,0.12006860255892662,0.11755497324244447,0.20909898812420752,0.18056885606721426,0.16376339629873882,0.016766738892644406,0.004073312005411722,0.847,0.877,2000,italic(N) == 250,\beta_{xm} == 0.3,corr[XM] == 0,rho == 0.7
250,0,0.7,0.3,-0.09131678608709701,reg,yint,1,0.644,0.05853188372858392,0.05586718552370327,0.0559419025059749,1,0.933,0.9315,NA,-0.07283775373488244,0.10939715807029818,0.06025610484977439,-1.5154777481013846,-1.5223384834028253,-0.04424906662185912,-0.09010116642635813,-0.07167351925997456,0.933,0.9315,2000,italic(N) == 250,\beta_{xm} == 0.3,corr[XM] == 0,rho == 0.7
250,0,0.7,0.3,-0.09131678608709701,tspa,yint,1,0.951,0.09848659822392075,0.09962563036266096,0.09423331559241496,3.5999999999999996,0.908,0.9165,0.009345039400245548,-0.07638650909289368,0.10824225070082905,0.1078650662246346,0.0866363849513987,0.04611507017544629,-0.0431864102142655,0.0034157905536976174,-0.11593344863259358,0.908,0.9165,2000,italic(N) == 250,\beta_{xm} == 0.3,corr[XM] == 0,rho == 0.7
250,0,0.7,0.3,-0.09131678608709701,upi,yint,1,0.914,0.12408830748525451,0.13725191777257767,0.1224981359761354,3.5999999999999996,0.738,0.774,0.008373896068241071,-0.007224192007672214,0.13846953627332997,0.13825066713716533,0.06057038451708095,-0.0550758465813429,-0.012814837605131135,-0.0025004477835443573,-0.08249294905495297,0.738,0.774,2000,italic(N) == 250,\beta_{xm} == 0.3,corr[XM] == 0,rho == 0.7
250,0,0.8,0.3,-0.06284005659956853,rapi,yint,1,0.968,0.08200070380373245,0.09049235741517556,0.08776323301009266,3.6999999999999997,0.9665,0.9705,0.009316220395950666,0.061881743852494786,0.08570540156513143,0.085218865414213,0.10932110338090545,0.06509603786506579,0.07027414325799874,0.006399576289483233,0.030963567942978054,0.9665,0.9705,2000,italic(N) == 250,\beta_{xm} == 0.3,corr[XM] == 0,rho == 0.8
250,0,0.8,0.3,-0.06284005659956853,reg,yint,1,0.777,0.06022181448016023,0.05427936068739294,0.054352524863680335,1.15,0.978,0.9775,NA,-0.09008028527931466,0.08663465467659594,0.059652912019886144,-1.0534281474577456,-1.015551021918386,-0.09746118856006081,-0.0626162994704352,-0.08890523707186981,0.978,0.9775,2000,italic(N) == 250,\beta_{xm} == 0.3,corr[XM] == 0,rho == 0.8
250,0,0.8,0.3,-0.06284005659956853,tspa,yint,1,0.946,0.07854026753663207,0.07906995997756676,0.07751212061893496,2.6,0.9745,0.9765,0.0019686587879564413,-0.03156287308434291,0.08165029520733796,0.08164697302487155,0.02411184046414967,-0.020684196799095205,-0.013090697930428719,-3.3428346282848853e-4,-0.04778849878111169,0.9745,0.9765,2000,italic(N) == 250,\beta_{xm} == 0.3,corr[XM] == 0,rho == 0.8
250,0,0.8,0.3,-0.06284005659956853,upi,yint,1,0.934,0.09536294133352391,0.0973689073033722,0.0917473809766705,4.2,0.9485,0.9555,0.007319913674825715,-0.06083536565678904,0.10390830685796588,0.10367607951024,0.07060368900333201,-0.024298780819243335,-0.03791368330605793,3.702591235546504e-4,-0.10607634296390411,0.9485,0.9555,2000,italic(N) == 250,\beta_{xm} == 0.3,corr[XM] == 0,rho == 0.8
250,0,0.9,0.3,-0.030954918583024005,rapi,yint,1,0.9665,0.06673650584031328,0.07039814944496403,0.06972340967878657,1,0.994,0.994,0.004515550341827911,0.06971280491857645,0.06594864539853092,0.06581032695997552,0.06861461643511053,0.06648788326045137,0.04475667104328673,0.0035773088661321117,0.06242755089030405,0.994,0.994,2000,italic(N) == 250,\beta_{xm} == 0.3,corr[XM] == 0,rho == 0.9
250,0,0.9,0.3,-0.030954918583024005,reg,yint,1,0.9065,0.0552682885113284,0.05252629644732334,0.05248832687859177,0.75,0.995,0.995,NA,-0.06060210817822265,0.06389925432876767,0.05591485450905039,-0.5536081396404894,-0.5417184287745381,-0.05029939785754034,-0.03016575535808047,-0.060014833616103935,0.995,0.995,2000,italic(N) == 250,\beta_{xm} == 0.3,corr[XM] == 0,rho == 0.9
